Date,Open,High,Low,Close,Adj Close,Volume
4/26/2018,2651.649902,2676.47998,2647.159912,2666.939941,2666.939941,3665720000
4/27/2018,2675.469971,2677.350098,2659.01001,2669.909912,2669.909912,3219030000
4/30/2018,2682.51001,2682.870117,2648.040039,2648.050049,2648.050049,3734530000
5/1/2018,2642.959961,2655.27002,2625.409912,2654.800049,2654.800049,3559850000
5/2/2018,2654.23999,2660.870117,2631.699951,2635.669922,2635.669922,4010770000
5/3/2018,2628.080078,2637.139893,2594.620117,2629.72998,2629.72998,3851470000
5/4/2018,2621.449951,2670.929932,2615.320068,2663.419922,2663.419922,3327220000
5/7/2018,2680.340088,2683.350098,2664.699951,2672.629883,2672.629883,3237960000
5/8/2018,2670.26001,2676.340088,2655.199951,2671.919922,2671.919922,3717570000
5/9/2018,2678.120117,2701.27002,2674.139893,2697.790039,2697.790039,3909500000
5/10/2018,2705.02002,2726.110107,2704.540039,2723.070068,2723.070068,3333050000
5/11/2018,2722.699951,2732.860107,2717.449951,2727.719971,2727.719971,2862700000
5/14/2018,2738.469971,2742.100098,2725.469971,2730.129883,2730.129883,2972660000
5/15/2018,2718.590088,2718.590088,2701.909912,2711.449951,2711.449951,3290680000
5/16/2018,2712.620117,2727.76001,2712.169922,2722.459961,2722.459961,3202670000
5/17/2018,2719.709961,2731.959961,2711.360107,2720.129883,2720.129883,3475400000
5/18/2018,2717.350098,2719.5,2709.179932,2712.969971,2712.969971,3368690000
5/21/2018,2735.389893,2739.189941,2725.699951,2733.01001,2733.01001,3019890000
5/22/2018,2738.340088,2742.23999,2721.879883,2724.439941,2724.439941,3366310000
5/23/2018,2713.97998,2733.330078,2709.540039,2733.290039,2733.290039,3326290000
5/24/2018,2730.939941,2731.969971,2707.379883,2727.76001,2727.76001,3256030000
5/25/2018,2723.600098,2727.360107,2714.98999,2721.330078,2721.330078,2995260000
5/29/2018,2705.110107,2710.669922,2676.810059,2689.860107,2689.860107,3736890000
5/30/2018,2702.429932,2729.340088,2702.429932,2724.01001,2724.01001,3561050000
5/31/2018,2720.97998,2722.5,2700.679932,2705.27002,2705.27002,4235370000
6/1/2018,2718.699951,2736.929932,2718.699951,2734.620117,2734.620117,3684130000
6/4/2018,2741.669922,2749.159912,2740.540039,2746.870117,2746.870117,3376510000
6/5/2018,2748.459961,2752.610107,2739.51001,2748.800049,2748.800049,3517790000
6/6/2018,2753.25,2772.389893,2748.459961,2772.350098,2772.350098,3651640000
6/7/2018,2774.840088,2779.899902,2760.159912,2770.370117,2770.370117,3711330000
6/8/2018,2765.840088,2779.389893,2763.590088,2779.030029,2779.030029,3123210000
6/11/2018,2780.179932,2790.209961,2780.169922,2782,2782,3232330000
6/12/2018,2785.600098,2789.800049,2778.780029,2786.850098,2786.850098,3401010000
6/13/2018,2787.939941,2791.469971,2774.649902,2775.629883,2775.629883,3779230000
6/14/2018,2783.209961,2789.060059,2776.52002,2782.48999,2782.48999,3526890000
6/15/2018,2777.780029,2782.810059,2761.72998,2779.659912,2779.659912,5428790000
6/18/2018,2765.790039,2774.98999,2757.120117,2773.75,2773.75,3287150000
6/19/2018,2752.01001,2765.050049,2743.189941,2762.590088,2762.590088,3661470000
6/20/2018,2769.72998,2774.860107,2763.909912,2767.320068,2767.320068,3327600000
6/21/2018,2769.280029,2769.280029,2744.389893,2749.76001,2749.76001,3300060000
6/22/2018,2760.790039,2764.169922,2752.679932,2754.879883,2754.879883,5450550000
6/25/2018,2742.939941,2742.939941,2698.669922,2717.070068,2717.070068,3655080000
